type,title,cast,country,date_added,release_year,rating,listed_in,id,duration_int,duration_type,score
tv show,kristal clear,"melanie leishman, samantha wan, emmanuel kabongo, alexandre côté, becky wright, kelsey macdermaid, andrea drepaul, jazmin tonner",,,2018,13+,tv shows,as1924,1,season,3.57
tv show,kratts' creatures,,,,1996,tv-y,"documentary, kids",as1925,1,season,3.57
tv show,kokkoku,"chika anzai, asami seto, kazuhiro yamaji, koji tsujitani, ryuto iwata",,,2018,tv-nr,tv shows,as1926,1,season,3.46
movie,know fear,"amy carlson, mallory bechtel, david alan basche, david johnson, jack difalco, meeya davis, chase bolnick, susan feinman, tom coughlin, mike nguyen",,,2021,16+,horror,as1927,78,min,3.51
movie,knockout,"steve austin, daniel magder, janet kidder, emma grabinsky, jaren brandt bartlett",,,2011,g,action,as1928,95,min,3.55
movie,knock off,"jean-claude van damme, rob schneider, lela rochon, paul sorvino",,,1998,r,"action, suspense",as1929,91,min,3.54
tv show,knock knock ghost,,,,2018,16+,tv shows,as1930,2,season,3.48
movie,knights of badassdom,"ryan kwanten, peter dinklage, steve zahn",united states,,2014,r,"action, comedy, fantasy",as1931,86,min,3.6
movie,kingdom of conquerors,"shaoqun yu, geng le, zhao ypuliang, tu men, park yejin, li xiaoran",,,2014,pg-13,"action, adventure, drama",as1932,100,min,3.52
tv show,king gary,"gary king, terri king, teddy king, chloe ferdinando, darren ferdinando, denise king, big gary king",,,2020,tv-pg,comedy,as1933,1,season,3.5
movie,king arthur's lost kingdom,jay o. sanders,,,2019,g,documentary,as1934,55,min,3.57
movie,kindness matters,"bill wetherill, aaron ginn-forsberg, raine hartman forsberg, julie van lith, stacie stocker, suzanne mcgown brown, kathleen benner, greg lutz, timothy helmstadter, shellie ulrich, benjamin charles fletcher",,,2018,7+,"drama, faith and spirituality, kids",as1935,102,min,3.5
tv show,kimchi chronicles,"hugh jackman, jean-georges vongerichten, marja vongerichten",,,2020,7+,"documentary, special interest",as1936,1,season,3.47
movie,kilroy,"wilson antonio ramirez, steve villegas, brian eric johnson, michael ""2nd chance"" gonzales",,,2021,16+,"documentary, drama",as1937,87,min,3.42
movie,killing oswald,"raymond burns, nigel barber, vitaly yerenkov, livia sardao",,,2013,13+,"documentary, special interest",as1938,53,min,3.52
tv show,killing bites,"sora amamiya, wataru hatano, maaya uchida, sumire uesaka, rikiya koyama",,,2018,tv-nr,tv shows,as1939,1,season,3.54
tv show,killer mysteries,owen thomas,,,2018,tv-ma,"documentary, suspense",as1940,1,season,3.57
tv show,killer iq: lion vs. hyena,,,,2015,tv-pg,special interest,as1941,1,season,3.55
movie,kill order,"chris mark, daniel park",,,2017,16+,science fiction,as1942,77,min,3.53
movie,kiiyii - london bridge is falling down & more classic nursery rhymes,,,,2020,all,kids,as1943,28,min,3.5
movie,kiiyii - learn abcs 123s & more nursery rhymes for kids,,,,2020,all,kids,as1944,30,min,3.55
movie,kiiyii - humpty dumpty & more classic kids songs,,,,2020,all,kids,as1945,26,min,3.53
movie,kids puppet show,,,,2019,7+,"comedy, kids",as1946,30,min,3.5
tv show,kids behind bars: life or parole,max watchel,,,2019,tv-14,tv shows,as1947,1,season,3.5
tv show,kidnapping,"jessica kehayias, aketza lopez, dennis mencia",,,2017,16+,tv shows,as1948,1,season,3.52
movie,kickboxer 3: the art of war,"sasha mitchell, dennis chan, richard comar, noah verduzco, althea miranda",,,1992,r,"action, sports, suspense",as1949,92,min,3.6
movie,khuda kasam,"sunny deol, tabu  neetu singh, beena banerjee, farida jalal, raza murad, govind namdeo",,,2010,13+,action,as1950,123,min,3.54
movie,"kevin smith: silent, but deadly (extended edition)",kevin smith,,,2018,g,"arts, entertainment, and culture, comedy, documentary",as1951,85,min,3.46
movie,"kevin nealon: whelmed, but not overly",kevin nealon,,,2012,18+,"arts, entertainment, and culture, comedy, special interest",as1952,57,min,3.61
movie,kevin james doyle: the 30 year old virgin,kevin james doyle,,,2020,18+,"arts, entertainment, and culture, comedy",as1953,81,min,3.57
movie,kevin hart presents: plastic cup boyz,"kevin hart, will 'spank' horton, na'im lynn, joey wellis",,,2014,18+,"arts, entertainment, and culture, comedy, special interest",as1954,83,min,3.62
movie,kevin hart presents: keith robinson - back of the bus funny,keith robinson,,,2014,18+,"arts, entertainment, and culture, comedy, special interest",as1955,68,min,3.53
movie,kesari,"akshay kumar, parineeti chopra, suvinder vicky",india,,2019,16+,"action, drama, historical",as1956,153,min,3.44
movie,kentucky fried movie,"marilyn joi, saul kahan, david zucker, marcy goldman",,,1977,18+,comedy,as1957,83,min,3.45
tv show,kenichi: the mightiest disciple (english dub),"josh grelle, carrie savage",,,2007,13+,"action, animation, anime",as1958,4,season,3.52
tv show,kemurikusa.,,,,2019,tv-nr,tv shows,as1959,1,season,3.49
movie,kathleen madigan: madigan again,kathleen madigan,,,2013,18+,"arts, entertainment, and culture, comedy, special interest",as1960,65,min,3.59
movie,katherine,"sissy spacek, art carney, jane wyatt, henry winkler, julie kavner",,,1975,g,drama,as1961,97,min,3.56
movie,katha sangama,"rishab shetty, kishore, haripriya, raj b shetty, avinash, yagna shetty, prakash belawadi, balaji manohar, pramod shetty, sowmya jagannmurthy",,,2019,13+,international,as1962,154,min,3.7
tv show,kashmir the story,,,,2018,13+,tv shows,as1963,1,season,3.48
movie,karma,"dan-neika clay, jamal woolard, joy rosalyn, chriss childress, jan jo, jaime joseph, naomi mack, maria artis, tywayne wheat, jamey clay-brown, lieutenant williams",,,2018,g,suspense,as1964,127,min,3.45
tv show,karakuri circus,"saiga masaru:chihiro ueda, narumi kato:rikiya koyama, shirogane saiga:megumi hayashibara, eiryo ashihana:takahiro sakurai, guy christophe rech:nozomu sasaki",,,2019,tv-nr,tv shows,as1965,1,season,3.51
movie,kapatadhaari (4k uhd),"sumanth, nanditha swetha, nasser, jp",india,,2021,13+,suspense,as1966,137,min,3.46
movie,kapatadhaari,"sumanth, nanditha swetha, nasser, jp",india,,2021,nr,suspense,as1967,137,min,3.45
movie,kanye west: a higher power,"ashley pearson, gemma calvert, dorian lynskey, daniel cain",,,2020,16+,documentary,as1968,58,min,3.49
movie,kanji ishiwara: the man who triggered the war,,,,2018,all,"documentary, special interest",as1969,52,min,3.55
movie,kandam,"amit bhargav, thenuka kantharajah",,,2020,16+,science fiction,as1970,60,min,3.54
movie,kalank,"varun dhawan, alia bhatt, madhuri dixit, aditya roy kapoor, sonakshi sinha, sanjay dutt",india,,2019,13+,"drama, international, romance",as1971,166,min,3.51
movie,kaka ji - son of royal sardar,"dev kharoud, aarushi sharma, jagjeet sandhu",,,2019,13+,"comedy, drama, romance",as1972,123,min,3.62
tv show,kaijudo: rise of the duel masters,,,,2013,tv-y7,"animation, kids",as1973,1,season,3.55
